Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_4_37,VSS,Metal1,31.3120,31.9080,0.000079
FILLER_4_34,VSS,Metal1,26.0400,31.3600,0.000079
FILLER_4_2,VSS,Metal1,16.1240,31.9575,0.000079
FILLER_3_150,VSS,Metal1,91.2800,31.3600,0.000079
FILLER_3_142,VSS,Metal1,87.9730,30.8980,0.000079
FILLER_3_136,VSS,Metal1,83.6200,31.0110,0.000079
FILLER_3_72,VSS,Metal1,64.2445,30.7220,0.000079
FILLER_3_66,VSS,Metal1,44.4200,31.0110,0.000079
FILLER_3_2,VSS,Metal1,25.0445,30.7220,0.000079
FILLER_2_151,VSS,Metal1,91.5600,23.5200,0.000000
FILLER_2_147,VSS,Metal1,89.7800,23.8685,0.000000
FILLER_2_139,VSS,Metal1,86.2930,23.9815,0.000000
FILLER_2_107,VSS,Metal1,74.9240,24.1175,0.000000
FILLER_2_101,VSS,Metal1,64.0200,23.8685,0.000000
FILLER_2_37,VSS,Metal1,44.6445,24.1575,0.000000
FILLER_2_34,VSS,Metal1,26.0400,23.5200,0.000000
FILLER_2_2,VSS,Metal1,16.1240,24.1175,0.000000
FILLER_1_150,VSS,Metal1,91.2800,23.5200,0.000000
FILLER_1_142,VSS,Metal1,87.9730,23.0580,0.000000
FILLER_1_136,VSS,Metal1,83.6200,23.1710,0.000000
FILLER_1_72,VSS,Metal1,64.2445,22.8820,0.000000
FILLER_1_66,VSS,Metal1,44.4200,23.1710,0.000000
FILLER_1_2,VSS,Metal1,25.0445,22.8820,0.000000
FILLER_0_150,VSS,Metal1,91.2800,15.6800,0.000000
FILLER_0_146,VSS,Metal1,89.2200,16.0285,0.000000
FILLER_0_138,VSS,Metal1,85.7330,16.1415,0.000000
FILLER_0_104,VSS,Metal1,73.2440,16.2775,0.000000
FILLER_0_70,VSS,Metal1,54.2040,16.2775,0.000000
FILLER_0_36,VSS,Metal1,35.1640,16.2775,0.000000
FILLER_0_2,VSS,Metal1,16.1240,16.2775,0.000000
clkload0,VSS,Metal1,44.0400,46.5825,0.000397
clkbuf_1_1__f_in_clk,VSS,Metal1,72.0935,54.2815,0.000323
clkbuf_1_0__f_in_clk,VSS,Metal1,50.5460,39.7980,0.000311
clkbuf_0_in_clk,VSS,Metal1,71.5335,46.4415,0.000427
output5,VSS,Metal1,80.5165,55.2005,0.000323
output4,VSS,Metal1,87.2365,70.8805,0.000000
output3,VSS,Metal1,80.5165,62.3990,0.000041
output2,VSS,Metal1,78.2765,39.5205,0.000312
input1,VSS,Metal1,87.4830,39.5205,0.000312
TAP_TAPCELL_ROW_16_71,VSS,Metal1,83.4400,78.8690,0.000000
TAP_TAPCELL_ROW_16_70,VSS,Metal1,64.4000,78.8690,0.000000
TAP_TAPCELL_ROW_16_69,VSS,Metal1,45.3600,78.8690,0.000000
TAP_TAPCELL_ROW_16_68,VSS,Metal1,26.3200,78.8690,0.000000
TAP_TAPCELL_ROW_15_67,VSS,Metal1,85.6800,77.9305,0.000000
TAP_TAPCELL_ROW_15_66,VSS,Metal1,46.4800,77.9305,0.000000
TAP_TAPCELL_ROW_14_65,VSS,Metal1,66.0800,71.0290,0.000000
TAP_TAPCELL_ROW_14_64,VSS,Metal1,26.8800,71.0290,0.000000
TAP_TAPCELL_ROW_13_63,VSS,Metal1,85.6800,70.0905,0.000000
TAP_TAPCELL_ROW_13_62,VSS,Metal1,46.4800,70.0905,0.000000
TAP_TAPCELL_ROW_12_61,VSS,Metal1,66.0800,63.1890,0.000038
TAP_TAPCELL_ROW_12_60,VSS,Metal1,26.8800,63.1890,0.000036
TAP_TAPCELL_ROW_11_59,VSS,Metal1,85.6800,62.2505,0.000041
TAP_TAPCELL_ROW_11_58,VSS,Metal1,46.4800,62.2505,0.000036
TAP_TAPCELL_ROW_10_57,VSS,Metal1,66.0800,55.3490,0.000323
TAP_TAPCELL_ROW_10_56,VSS,Metal1,26.8800,55.3490,0.000298
TAP_TAPCELL_ROW_9_55,VSS,Metal1,85.6800,54.4105,0.000323
TAP_TAPCELL_ROW_9_54,VSS,Metal1,46.4800,54.4105,0.000320
TAP_TAPCELL_ROW_8_53,VSS,Metal1,66.0800,47.5090,0.000427
TAP_TAPCELL_ROW_8_52,VSS,Metal1,26.8800,47.5090,0.000361
TAP_TAPCELL_ROW_7_51,VSS,Metal1,85.6800,46.5705,0.000427
TAP_TAPCELL_ROW_7_50,VSS,Metal1,46.4800,46.5705,0.000398
TAP_TAPCELL_ROW_6_49,VSS,Metal1,66.0800,39.6690,0.000311
TAP_TAPCELL_ROW_6_48,VSS,Metal1,26.8800,39.6690,0.000309
TAP_TAPCELL_ROW_5_47,VSS,Metal1,85.6800,38.7305,0.000312
TAP_TAPCELL_ROW_5_46,VSS,Metal1,46.4800,38.7305,0.000311
TAP_TAPCELL_ROW_4_45,VSS,Metal1,66.0800,31.8290,0.000079
TAP_TAPCELL_ROW_4_44,VSS,Metal1,26.8800,31.8290,0.000079
TAP_TAPCELL_ROW_3_43,VSS,Metal1,85.6800,30.8905,0.000079
TAP_TAPCELL_ROW_3_42,VSS,Metal1,46.4800,30.8905,0.000079
TAP_TAPCELL_ROW_2_41,VSS,Metal1,66.0800,23.9890,0.000000
TAP_TAPCELL_ROW_2_40,VSS,Metal1,26.8800,23.9890,0.000000
TAP_TAPCELL_ROW_1_39,VSS,Metal1,85.6800,23.0505,0.000000
TAP_TAPCELL_ROW_1_38,VSS,Metal1,46.4800,23.0505,0.000000
TAP_TAPCELL_ROW_0_37,VSS,Metal1,83.4400,16.1490,0.000000
TAP_TAPCELL_ROW_0_36,VSS,Metal1,64.4000,16.1490,0.000000
TAP_TAPCELL_ROW_0_35,VSS,Metal1,45.3600,16.1490,0.000000
TAP_TAPCELL_ROW_0_34,VSS,Metal1,26.3200,16.1490,0.000000
PHY_EDGE_ROW_16_Left_33,VSS,Metal1,7.2730,78.8700,0.000000
PHY_EDGE_ROW_15_Left_32,VSS,Metal1,7.2730,77.9300,0.000000
PHY_EDGE_ROW_14_Left_31,VSS,Metal1,7.2730,71.0300,0.000000
PHY_EDGE_ROW_13_Left_30,VSS,Metal1,7.2730,70.0900,0.000000
PHY_EDGE_ROW_12_Left_29,VSS,Metal1,7.2730,63.1900,0.000036
PHY_EDGE_ROW_11_Left_28,VSS,Metal1,7.2730,62.2500,0.000036
PHY_EDGE_ROW_10_Left_27,VSS,Metal1,7.2730,55.3500,0.000298
PHY_EDGE_ROW_9_Left_26,VSS,Metal1,7.2730,54.4100,0.000298
PHY_EDGE_ROW_8_Left_25,VSS,Metal1,7.2730,47.5100,0.000361
PHY_EDGE_ROW_7_Left_24,VSS,Metal1,7.2730,46.5700,0.000361
PHY_EDGE_ROW_6_Left_23,VSS,Metal1,7.2730,39.6700,0.000310
PHY_EDGE_ROW_5_Left_22,VSS,Metal1,7.2730,38.7300,0.000310
PHY_EDGE_ROW_4_Left_21,VSS,Metal1,7.2730,31.8300,0.000079
PHY_EDGE_ROW_3_Left_20,VSS,Metal1,7.2730,30.8900,0.000079
PHY_EDGE_ROW_2_Left_19,VSS,Metal1,7.2730,23.9900,0.000000
PHY_EDGE_ROW_1_Left_18,VSS,Metal1,7.2730,23.0500,0.000000
PHY_EDGE_ROW_0_Left_17,VSS,Metal1,7.2730,16.1500,0.000000
