Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_113_760,VDD,Metal1,432.6000,458.6400,5.000000
FILLER_113_758,VDD,Metal1,431.7600,458.6400,5.000000
FILLER_113_750,VDD,Metal1,429.4665,459.2165,5.000000
FILLER_113_716,VDD,Metal1,417.3155,459.4085,5.000000
FILLER_113_682,VDD,Metal1,398.2755,459.4085,5.000000
FILLER_113_648,VDD,Metal1,379.2355,459.4085,5.000000
FILLER_113_614,VDD,Metal1,360.1955,459.4085,5.000000
FILLER_113_580,VDD,Metal1,341.1555,459.4085,5.000000
FILLER_113_546,VDD,Metal1,322.1155,459.4085,5.000000
FILLER_113_512,VDD,Metal1,303.0755,459.4085,5.000000
FILLER_113_478,VDD,Metal1,284.0355,459.4085,5.000000
FILLER_113_444,VDD,Metal1,264.9955,459.4085,5.000000
FILLER_113_410,VDD,Metal1,245.9555,459.4085,5.000000
FILLER_113_407,VDD,Metal1,234.9200,458.6400,5.000000
FILLER_113_403,VDD,Metal1,233.9000,459.0725,5.000000
FILLER_113_376,VDD,Metal1,217.5600,458.6400,5.000000
FILLER_113_342,VDD,Metal1,207.8755,459.4085,5.000000
FILLER_113_308,VDD,Metal1,188.8355,459.4085,5.000000
FILLER_113_274,VDD,Metal1,169.7955,459.4085,5.000000
FILLER_113_240,VDD,Metal1,150.7555,459.4085,5.000000
FILLER_113_206,VDD,Metal1,131.7155,459.4085,5.000000
FILLER_113_172,VDD,Metal1,112.6755,459.4085,5.000000
FILLER_113_138,VDD,Metal1,93.6355,459.4085,5.000000
FILLER_113_104,VDD,Metal1,74.5955,459.4085,5.000000
FILLER_113_70,VDD,Metal1,55.5555,459.4085,5.000000
FILLER_113_36,VDD,Metal1,36.5155,459.4085,5.000000
FILLER_113_2,VDD,Metal1,17.4755,459.4085,5.000000
FILLER_112_753,VDD,Metal1,431.1465,458.0630,5.000000
FILLER_112_737,VDD,Metal1,424.5280,457.9480,5.000000
FILLER_112_731,VDD,Metal1,417.5800,458.2075,5.000000
FILLER_112_667,VDD,Metal1,398.8750,457.8255,5.000000
FILLER_112_661,VDD,Metal1,378.3800,458.2075,5.000000
FILLER_112_597,VDD,Metal1,359.6750,457.8255,5.000000
FILLER_112_591,VDD,Metal1,339.1800,458.2075,5.000000
FILLER_112_527,VDD,Metal1,320.4750,457.8255,5.000000
FILLER_112_521,VDD,Metal1,299.9800,458.2075,5.000000
FILLER_112_457,VDD,Metal1,281.2750,457.8255,5.000000
FILLER_112_451,VDD,Metal1,260.7800,458.2075,5.000000
FILLER_112_387,VDD,Metal1,242.0750,457.8255,5.000000
FILLER_112_381,VDD,Metal1,221.5800,458.2075,5.000000
FILLER_112_317,VDD,Metal1,202.8750,457.8255,5.000000
FILLER_112_311,VDD,Metal1,182.3800,458.2075,5.000000
FILLER_112_247,VDD,Metal1,163.6750,457.8255,5.000000
FILLER_112_241,VDD,Metal1,143.1800,458.2075,5.000000
FILLER_112_177,VDD,Metal1,124.4750,457.8255,5.000000
FILLER_112_171,VDD,Metal1,103.9800,458.2075,5.000000
FILLER_112_107,VDD,Metal1,85.2750,457.8255,5.000000
FILLER_112_101,VDD,Metal1,64.7800,458.2075,5.000000
FILLER_112_37,VDD,Metal1,46.0750,457.8255,5.000000
FILLER_112_34,VDD,Metal1,26.0400,458.6400,5.000000
FILLER_112_2,VDD,Metal1,17.4755,457.8710,5.000000
FILLER_111_776,VDD,Metal1,441.5600,450.8000,5.000000
FILLER_111_772,VDD,Metal1,440.5400,451.2325,5.000000
FILLER_111_753,VDD,Metal1,428.6800,450.8000,5.000000
FILLER_111_751,VDD,Metal1,427.8400,450.8000,5.000000
FILLER_111_743,VDD,Metal1,425.5465,451.3765,5.000000
FILLER_111_727,VDD,Metal1,418.9280,451.4920,5.000000
FILLER_111_706,VDD,Metal1,402.3600,450.8000,5.000000
FILLER_111_702,VDD,Metal1,401.3400,451.2325,5.000000
FILLER_111_698,VDD,Metal1,398.1600,450.8000,5.000000
FILLER_111_682,VDD,Metal1,393.7280,451.4920,5.000000
FILLER_111_668,VDD,Metal1,381.0800,450.8000,5.000000
FILLER_111_632,VDD,Metal1,361.2000,450.8000,5.000000
FILLER_111_595,VDD,Metal1,340.2000,450.8000,5.000000
FILLER_111_591,VDD,Metal1,339.1800,451.2325,5.000000
FILLER_111_575,VDD,Metal1,333.8080,451.4920,5.000000
FILLER_111_556,VDD,Metal1,319.5800,451.2325,5.000000
FILLER_111_548,VDD,Metal1,316.3465,451.3765,5.000000
FILLER_111_532,VDD,Metal1,309.7280,451.4920,5.000000
FILLER_111_496,VDD,Metal1,285.0400,450.8000,5.000000
FILLER_111_492,VDD,Metal1,283.7400,451.2325,5.000000
FILLER_111_455,VDD,Metal1,261.8000,450.8000,5.000000
FILLER_111_451,VDD,Metal1,260.7800,451.2325,5.000000
FILLER_111_435,VDD,Metal1,255.4080,451.4920,5.000000
FILLER_111_419,VDD,Metal1,241.6400,450.8000,5.000000
FILLER_111_417,VDD,Metal1,240.8000,450.8000,5.000000
FILLER_111_409,VDD,Metal1,238.5065,451.3765,5.000000
FILLER_111_374,VDD,Metal1,216.4400,450.8000,5.000000
FILLER_111_372,VDD,Metal1,215.6000,450.8000,5.000000
FILLER_111_368,VDD,Metal1,214.3000,451.2325,5.000000
FILLER_111_352,VDD,Metal1,208.9280,451.4920,5.000000
FILLER_111_314,VDD,Metal1,183.1200,450.8000,5.000000
FILLER_111_310,VDD,Metal1,181.8200,451.2325,5.000000
FILLER_111_302,VDD,Metal1,178.5865,451.3765,5.000000
FILLER_111_286,VDD,Metal1,171.9680,451.4920,5.000000
FILLER_111_276,VDD,Metal1,162.7800,451.2325,5.000000
FILLER_111_212,VDD,Metal1,144.0750,451.6140,5.000000
FILLER_111_209,VDD,Metal1,124.0400,450.8000,5.000000
FILLER_111_207,VDD,Metal1,123.2000,450.8000,5.000000
FILLER_111_199,VDD,Metal1,120.9065,451.3765,5.000000
FILLER_111_183,VDD,Metal1,114.2880,451.4920,5.000000
FILLER_111_166,VDD,Metal1,101.1800,451.2325,5.000000
FILLER_111_158,VDD,Metal1,97.9465,451.3765,5.000000
FILLER_111_142,VDD,Metal1,91.3280,451.4920,5.000000
FILLER_111_104,VDD,Metal1,65.5200,450.8000,5.000000
FILLER_111_72,VDD,Metal1,56.6755,451.5685,5.000000
FILLER_111_66,VDD,Metal1,45.1800,451.2325,5.000000
FILLER_111_2,VDD,Metal1,26.4750,451.6140,5.000000
FILLER_110_741,VDD,Metal1,422.2400,450.8000,5.000000
FILLER_110_737,VDD,Metal1,420.9400,450.3675,5.000000
FILLER_110_734,VDD,Metal1,418.0400,450.8000,5.000000
FILLER_110_732,VDD,Metal1,417.2000,450.8000,5.000000
FILLER_110_728,VDD,Metal1,415.9000,450.3675,5.000000
FILLER_110_720,VDD,Metal1,412.6665,450.2230,5.000000
FILLER_110_711,VDD,Metal1,405.1600,450.8000,5.000000
FILLER_110_709,VDD,Metal1,404.3200,450.8000,5.000000
FILLER_110_705,VDD,Metal1,403.0200,450.3675,5.000000
