net,length_um
_0959_,7.28µm
u_cas_diff.u_diff3.in_min1\[24\],7.28µm
_0132_,6.82µm
_0311_,6.82µm
_0480_,6.82µm
_0717_,6.82µm
_0725_,6.82µm
_0743_,6.82µm
_0056_,6.77µm
_0092_,6.77µm
_0586_,6.77µm
_0631_,6.77µm
_0705_,6.77µm
_0992_,6.77µm
_0999_,6.77µm
_1026_,6.77µm
_1031_,6.77µm
_0064_,6.72µm
_0157_,6.72µm
_0251_,6.72µm
_0466_,6.72µm
_0471_,6.72µm
_0495_,6.72µm
_0625_,6.72µm
_0638_,6.72µm
_0683_,6.72µm
_0752_,6.72µm
_0766_,6.72µm
_0830_,6.72µm
_0932_,6.72µm
_0985_,6.72µm
u_cas_diff.u_diff1.in_min1\[20\],6.72µm
u_cas_diff.u_diff2.in_min1\[20\],6.72µm
u_cas_diff.u_diff3.in_min1\[20\],6.72µm
_0557_,6.31µm
_0564_,6.31µm
_0025_,6.26µm
_0094_,6.26µm
_0164_,6.26µm
_0637_,6.26µm
_0739_,6.26µm
_0223_,6.21µm
_0904_,6.21µm
_0062_,6.16µm
_0077_,6.16µm
_0085_,6.16µm
_0250_,6.16µm
_0294_,6.16µm
_0519_,6.16µm
_0552_,6.16µm
_0553_,6.16µm
_0744_,6.16µm
_0760_,6.16µm
_0953_,6.16µm
_1009_,6.16µm
_0427_,5.7µm
_0571_,5.7µm
_0910_,5.7µm
_0199_,5.65µm
_0477_,5.65µm
_0551_,5.65µm
_0790_,5.65µm
_0923_,5.65µm
_0961_,5.65µm
u_cas_diff.u_diff3.in_min1\[9\],5.65µm
_0014_,5.6µm
_0076_,5.6µm
_0114_,5.6µm
_0115_,5.6µm
_0117_,5.6µm
_0137_,5.6µm
_0143_,5.6µm
_0322_,5.6µm
_0521_,5.6µm
_0550_,5.6µm
_0567_,5.6µm
_0577_,5.6µm
_0578_,5.6µm
_0797_,5.6µm
_0808_,5.6µm
_0810_,5.6µm
_0906_,5.6µm
_0946_,5.6µm
u_cas_diff.u_diff1.in_min1\[14\],5.6µm
u_cas_diff.u_diff2.in_min1\[10\],5.6µm
_0243_,5.14µm
_0273_,5.14µm
_0817_,5.14µm
_0819_,5.14µm
_0408_,5.09µm
_0589_,5.09µm
_0610_,5.09µm
_0641_,5.09µm
_0069_,5.04µm
_0079_,5.04µm
_0113_,5.04µm
_0123_,5.04µm
_0138_,5.04µm
_0141_,5.04µm
_0406_,5.04µm
_0538_,5.04µm
_0646_,5.04µm
_0791_,5.04µm
_0888_,5.04µm
_0958_,5.04µm
_0483_,4.63µm
_0018_,4.58µm
_0348_,4.58µm
_0476_,4.58µm
_0632_,4.58µm
_0802_,4.58µm
_0919_,4.58µm
_0934_,4.58µm
_0301_,4.53µm
_0814_,4.53µm
_0028_,4.48µm
_0055_,4.48µm
_0057_,4.48µm
_0065_,4.48µm
_0074_,4.48µm
_0080_,4.48µm
_0112_,4.48µm
_0229_,4.48µm
_0306_,4.48µm
_0390_,4.48µm
_0492_,4.48µm
_0546_,4.48µm
_0573_,4.48µm
_0600_,4.48µm
_0680_,4.48µm
_0753_,4.48µm
_0759_,4.48µm
_0816_,4.48µm
_0826_,4.48µm
_0836_,4.48µm
_0903_,4.48µm
_0930_,4.48µm
_0087_,4.02µm
_0101_,4.02µm
_0109_,4.02µm
_0380_,4.02µm
_0509_,4.02µm
_0851_,4.02µm
_0937_,4.02µm
_0512_,3.97µm
_0833_,3.97µm
_0078_,3.92µm
_0100_,3.92µm
_0116_,3.92µm
_0144_,3.92µm
_0197_,3.92µm
_0236_,3.92µm
_0280_,3.92µm
_0421_,3.92µm
_0607_,3.92µm
_0740_,3.92µm
_0769_,3.92µm
_0799_,3.92µm
_0847_,3.92µm
_0941_,3.92µm
_0981_,3.92µm
_0983_,3.92µm
_0051_,3.36µm
_0081_,3.36µm
_0174_,3.36µm
_0208_,3.36µm
_0274_,3.36µm
_0399_,3.36µm
_0412_,3.36µm
_0590_,3.36µm
_0658_,3.36µm
_0696_,3.36µm
_0718_,3.36µm
_0721_,3.36µm
_0773_,3.36µm
_0807_,3.36µm
_0974_,3.36µm
_0996_,3.36µm
_0998_,3.36µm
_1006_,3.36µm
_1007_,3.36µm
u_cas_diff.u_diff1.in_min1\[21\],3.36µm
u_cas_diff.u_diff3.in_min1\[12\],3.36µm
_0309_,2.9µm
_0507_,2.9µm
_0508_,2.9µm
_0682_,2.9µm
_0788_,2.9µm
_0052_,2.8µm
_0054_,2.8µm
_0073_,2.8µm
_0082_,2.8µm
_0091_,2.8µm
_0108_,2.8µm
_0151_,2.8µm
_0193_,2.8µm
_0241_,2.8µm
_0296_,2.8µm
_0312_,2.8µm
_0428_,2.8µm
_0444_,2.8µm
_0505_,2.8µm
_0525_,2.8µm
_0537_,2.8µm
_0594_,2.8µm
_0604_,2.8µm
_0703_,2.8µm
_0732_,2.8µm
_0745_,2.8µm
_0748_,2.8µm
_0762_,2.8µm
_0778_,2.8µm
_0780_,2.8µm
_0811_,2.8µm
_0834_,2.8µm
_0843_,2.8µm
_0902_,2.8µm
_0915_,2.8µm
_0921_,2.8µm
_1022_,2.8µm
_1030_,2.8µm
_0149_,2.34µm
_0169_,2.34µm
_0540_,2.34µm
_0895_,2.34µm
_0159_,2.24µm
_0216_,2.24µm
_0323_,2.24µm
_0405_,2.24µm
_0493_,2.24µm
_0531_,2.24µm
_0575_,2.24µm
_0629_,2.24µm
_0651_,2.24µm
_0734_,2.24µm
_0735_,2.24µm
_0768_,2.24µm
_0806_,2.24µm
_0896_,2.24µm
_0909_,2.24µm
_0940_,2.24µm
_0955_,2.24µm
_1010_,2.24µm
u_cas_diff.u_diff3.in_min1\[13\],2.24µm
_0173_,1.68µm
_0227_,1.68µm
_0338_,1.68µm
_0426_,1.68µm
_0474_,1.68µm
_0605_,1.68µm
_0649_,1.68µm
_0711_,1.68µm
_0722_,1.68µm
u_cas_diff.u_diff3.in_min1\[8\],1.68µm
_0434_,1.12µm
_0693_,1.12µm
_0883_,1.12µm
_0965_,1.12µm
