net,length_um
u_cas_diff.out_diff2\[1\],55.54µm
u_cas_diff.out_diff2\[21\],55.54µm
_0818_,55.49µm
_0659_,55.44µm
_0980_,54.98µm
_0337_,54.93µm
_0364_,54.88µm
u_cas_diff.out_diff2\[13\],54.57µm
u_cas_diff.out_diff1\[23\],54.47µm
_0360_,54.42µm
_0375_,53.96µm
u_cas_diff.out_diff2\[7\],53.96µm
_0712_,53.86µm
u_cas_diff.u_diff2.in_min1\[9\],53.81µm
_0458_,53.76µm
_0823_,53.35µm
_0935_,53.35µm
_0536_,53.3µm
_0706_,52.84µm
_0922_,52.74µm
u_cas_diff.out_diff2\[17\],52.74µm
_0991_,52.69µm
u_clock_div.counter\[4\],52.23µm
_0481_,52.18µm
_0443_,51.67µm
u_cas_diff.out_diff2\[4\],51.67µm
u_cas_diff.out_diff1\[9\],51.16µm
u_cas_int.out_int1\[24\],51.16µm
_0501_,51.06µm
_0661_,51.01µm
_0362_,50.55µm
_0601_,50.55µm
_0570_,50.5µm
u_cas_diff.out_diff2\[3\],50.5µm
_0381_,49.89µm
_0987_,49.89µm
_0279_,49.38µm
_0990_,49.38µm
_0429_,49.33µm
_0840_,49.28µm
_0383_,48.82µm
_0002_,48.77µm
_0588_,48.31µm
u_cas_diff.out_diff1\[11\],48.26µm
_0782_,48.21µm
_0916_,48.21µm
_0004_,47.65µm
u_cas_diff.out_diff1\[24\],47.19µm
_0271_,46.63µm
_0277_,46.63µm
_0620_,46.53µm
_0674_,46.02µm
_0351_,45.97µm
u_cas_diff.u_diff2.in_min1\[3\],45.97µm
_0326_,45.51µm
_0622_,45.51µm
_0949_,45.41µm
_0861_,45.36µm
_0615_,45.05µm
_0384_,44.8µm
u_cas_diff.u_diff2.in_min1\[14\],44.62µm
_0293_,44.34µm
_0316_,44.34µm
_0397_,44.29µm
_0912_,44.24µm
_0379_,43.88µm
u_clock_div.counter\[1\],43.88µm
_0234_,43.78µm
_1020_,43.78µm
u_cas_diff.out_diff1\[2\],43.73µm
_0619_,43.27µm
_0770_,43.17µm
net14,43.17µm
_0266_,43.12µm
_0872_,43.12µm
_0153_,42.71µm
_0858_,42.66µm
_1000_,42.66µm
_1016_,42.66µm
u_cas_diff.out_diff2\[2\],42.61µm
_0672_,42.1µm
u_cas_diff.out_diff1\[1\],42.1µm
u_cas_diff.out_diff1\[21\],42.1µm
u_cas_diff.out_diff1\[8\],42.1µm
_0898_,42.05µm
_0897_,42µm
u_cas_diff.u_diff1.in_min1\[4\],41.64µm
u_cas_diff.u_diff3.in_min1\[17\],41.64µm
_0468_,41.49µm
_0453_,41.03µm
_0195_,40.88µm
_0392_,40.47µm
_0317_,40.42µm
_0742_,40.42µm
_1014_,40.42µm
_0001_,40.37µm
_0275_,40.37µm
_0469_,40.37µm
_0472_,40.37µm
_0304_,40.32µm
_0929_,39.91µm
u_cas_diff.u_diff1.in_min1\[18\],39.91µm
_0202_,39.81µm
_0850_,39.81µm
_0180_,39.76µm
_0783_,39.76µm
u_cas_diff.u_diff2.in_min1\[23\],39.4µm
_0623_,39.35µm
_0361_,39.3µm
_0420_,39.25µm
_0804_,39.25µm
_0976_,39.25µm
u_cas_diff.u_diff1.in_min1\[23\],38.84µm
_0499_,38.74µm
_0282_,38.69µm
u_cas_diff.out_diff2\[9\],38.69µm
_0303_,38.64µm
_0417_,38.64µm
_0215_,38.13µm
u_cas_diff.u_diff2.in_min1\[4\],37.67µm
_0235_,37.62µm
_0563_,37.62µm
u_cas_diff.u_diff2.in_min1\[17\],37.16µm
_0460_,37.11µm
_0879_,37.06µm
_0855_,37.01µm
u_cas_diff.out_diff2\[8\],37.01µm
_0710_,36.96µm
_1015_,36.5µm
_0335_,36.45µm
_0343_,36.4µm
_0502_,35.99µm
_0246_,35.94µm
_0849_,35.94µm
_0716_,35.89µm
_0771_,35.89µm
_0409_,35.48µm
_0368_,35.38µm
_0527_,35.38µm
u_cas_diff.out_diff1\[3\],35.33µm
_0222_,34.87µm
_0237_,34.82µm
_0373_,34.82µm
_1003_,34.82µm
net1,34.82µm
u_cas_diff.out_diff2\[12\],34.82µm
_0211_,34.77µm
_0239_,34.77µm
_0599_,34.77µm
_0695_,34.72µm
_0944_,34.31µm
u_cas_diff.out_diff1\[15\],34.31µm
_0154_,34.26µm
_0772_,34.26µm
_0355_,34.21µm
_0533_,34.21µm
_0547_,34.21µm
_0663_,34.21µm
u_cas_diff.out_diff2\[16\],34.21µm
_0447_,34.16µm
_0890_,33.8µm
_1021_,33.8µm
u_cas_diff.out_diff1\[10\],33.75µm
_0344_,33.7µm
_0367_,33.65µm
_0871_,33.65µm
_0030_,33.6µm
_0690_,33.6µm
u_cas_diff.u_diff2.in_min1\[1\],33.19µm
_0156_,33.14µm
_0232_,33.14µm
_0288_,33.14µm
_0584_,33.14µm
_0652_,33.14µm
u_cas_diff.out_diff2\[22\],33.14µm
_0249_,33.09µm
_0393_,33.09µm
_0774_,33.09µm
_1004_,33.09µm
u_cas_diff.out_diff2\[0\],33.09µm
u_cas_int.out_int1\[23\],33.09µm
_0763_,33.04µm
_0931_,33.04µm
_0673_,32.58µm
