Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_49_376,VSS,Metal1,219.0130,211.2180,0.000000
FILLER_49_357,VSS,Metal1,206.9200,211.6800,0.000000
FILLER_49_339,VSS,Metal1,196.8400,211.6800,0.000000
FILLER_49_337,VSS,Metal1,196.0000,211.6800,0.000000
FILLER_49_322,VSS,Metal1,187.6000,211.6800,0.000000
FILLER_49_274,VSS,Metal1,160.4400,211.6800,0.000000
FILLER_49_271,VSS,Metal1,158.7600,211.6800,0.000000
FILLER_49_240,VSS,Metal1,141.6800,211.6800,0.000000
FILLER_49_232,VSS,Metal1,137.2000,211.6800,0.000000
FILLER_49_228,VSS,Metal1,135.1400,211.3310,0.000000
FILLER_49_212,VSS,Metal1,129.3120,211.1320,0.000000
FILLER_49_203,VSS,Metal1,120.6800,211.6800,0.000000
FILLER_49_190,VSS,Metal1,113.4000,211.6800,0.000000
FILLER_49_188,VSS,Metal1,112.5600,211.6800,0.000000
FILLER_49_172,VSS,Metal1,106.9120,211.1320,0.000000
FILLER_49_158,VSS,Metal1,96.9330,211.2180,0.000000
FILLER_49_153,VSS,Metal1,92.6800,211.6800,0.000000
FILLER_49_147,VSS,Metal1,89.6000,211.6800,0.000000
FILLER_49_125,VSS,Metal1,77.2800,211.6800,0.000000
FILLER_49_108,VSS,Metal1,67.4800,211.6800,0.000000
FILLER_49_104,VSS,Metal1,65.7000,211.3310,0.000000
FILLER_49_93,VSS,Metal1,59.0800,211.6800,0.000000
FILLER_49_91,VSS,Metal1,58.2400,211.6800,0.000000
FILLER_49_87,VSS,Metal1,56.1800,211.3310,0.000000
FILLER_49_67,VSS,Metal1,44.5200,211.6800,0.000000
FILLER_49_65,VSS,Metal1,43.6800,211.6800,0.000000
FILLER_49_56,VSS,Metal1,38.3600,211.6800,0.000000
FILLER_49_42,VSS,Metal1,30.5200,211.6800,0.000000
FILLER_49_40,VSS,Metal1,29.6800,211.6800,0.000000
FILLER_49_36,VSS,Metal1,27.6200,211.3310,0.000000
FILLER_49_33,VSS,Metal1,25.4800,211.6800,0.000000
FILLER_49_17,VSS,Metal1,20.1120,211.1320,0.000000
FILLER_49_8,VSS,Metal1,11.4800,211.6800,0.000000
FILLER_49_6,VSS,Metal1,10.6400,211.6800,0.000000
FILLER_49_2,VSS,Metal1,8.5800,211.3310,0.000000
FILLER_48_356,VSS,Metal1,206.3600,203.8400,0.000000
FILLER_48_244,VSS,Metal1,143.6400,203.8400,0.000000
FILLER_48_206,VSS,Metal1,122.8200,204.1885,0.000000
FILLER_48_170,VSS,Metal1,102.2000,203.8400,0.000000
FILLER_48_168,VSS,Metal1,101.3600,203.8400,0.000000
FILLER_48_133,VSS,Metal1,81.4800,203.8400,0.000000
FILLER_48_131,VSS,Metal1,80.6400,203.8400,0.000000
FILLER_48_104,VSS,Metal1,65.2400,203.8400,0.000000
