Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_43_348,VDD,Metal1,202.1600,184.2400,5.000000
FILLER_43_335,VDD,Metal1,194.6000,184.2400,5.000000
FILLER_43_288,VDD,Metal1,168.2800,184.2400,5.000000
FILLER_43_279,VDD,Metal1,163.2400,184.2400,5.000000
FILLER_43_277,VDD,Metal1,162.4000,184.2400,5.000000
FILLER_43_212,VDD,Metal1,128.1865,184.8165,5.000000
FILLER_43_197,VDD,Metal1,117.3200,184.2400,5.000000
FILLER_43_191,VDD,Metal1,113.9600,184.2400,5.000000
FILLER_43_189,VDD,Metal1,113.1200,184.2400,5.000000
FILLER_43_105,VDD,Metal1,66.0800,184.2400,5.000000
FILLER_43_95,VDD,Metal1,60.4800,184.2400,5.000000
FILLER_43_80,VDD,Metal1,53.0200,184.6725,5.000000
FILLER_43_72,VDD,Metal1,49.7865,184.8165,5.000000
FILLER_43_69,VDD,Metal1,45.6400,184.2400,5.000000
FILLER_43_48,VDD,Metal1,33.8800,184.2400,5.000000
FILLER_43_36,VDD,Metal1,28.3800,184.6725,5.000000
FILLER_42_383,VDD,Metal1,221.4800,184.2400,5.000000
FILLER_42_381,VDD,Metal1,220.6400,184.2400,5.000000
FILLER_42_377,VDD,Metal1,219.3400,183.8075,5.000000
FILLER_42_333,VDD,Metal1,193.7600,184.2400,5.000000
FILLER_42_239,VDD,Metal1,140.8400,184.2400,5.000000
FILLER_42_203,VDD,Metal1,120.9600,184.2400,5.000000
FILLER_42_179,VDD,Metal1,107.2400,184.2400,5.000000
FILLER_42_177,VDD,Metal1,106.4000,184.2400,5.000000
FILLER_42_174,VDD,Metal1,104.4400,184.2400,5.000000
FILLER_42_170,VDD,Metal1,103.4200,183.8075,5.000000
FILLER_42_162,VDD,Metal1,98.9400,183.8075,5.000000
FILLER_42_120,VDD,Metal1,74.4800,184.2400,5.000000
FILLER_42_116,VDD,Metal1,73.1800,183.8075,5.000000
FILLER_42_107,VDD,Metal1,66.9200,184.2400,5.000000
FILLER_42_104,VDD,Metal1,65.2400,184.2400,5.000000
FILLER_42_102,VDD,Metal1,64.4000,184.2400,5.000000
FILLER_42_45,VDD,Metal1,32.4800,184.2400,5.000000
FILLER_42_26,VDD,Metal1,21.8400,184.2400,5.000000
FILLER_42_2,VDD,Metal1,8.1200,184.2400,5.000000
FILLER_41_292,VDD,Metal1,170.5200,176.4000,5.000000
FILLER_41_290,VDD,Metal1,169.6800,176.4000,5.000000
FILLER_41_218,VDD,Metal1,129.0800,176.4000,5.000000
FILLER_41_216,VDD,Metal1,128.2400,176.4000,5.000000
FILLER_41_212,VDD,Metal1,126.9400,176.8325,5.000000
FILLER_41_189,VDD,Metal1,112.8400,176.4000,5.000000
FILLER_41_84,VDD,Metal1,54.0400,176.4000,5.000000
FILLER_41_80,VDD,Metal1,53.0200,176.8325,5.000000
FILLER_41_72,VDD,Metal1,49.7865,176.9765,5.000000
FILLER_41_68,VDD,Metal1,45.3600,176.4000,5.000000
FILLER_41_23,VDD,Metal1,19.8800,176.4000,5.000000
FILLER_41_21,VDD,Metal1,19.0400,176.4000,5.000000
FILLER_41_17,VDD,Metal1,17.7400,176.8325,5.000000
FILLER_41_8,VDD,Metal1,11.4800,176.4000,5.000000
FILLER_41_6,VDD,Metal1,10.6400,176.4000,5.000000
FILLER_41_2,VDD,Metal1,9.3400,176.8325,5.000000
FILLER_40_349,VDD,Metal1,202.4400,176.4000,5.000000
FILLER_40_347,VDD,Metal1,201.6000,176.4000,5.000000
FILLER_40_314,VDD,Metal1,182.8400,176.4000,5.000000
FILLER_40_239,VDD,Metal1,140.8400,176.4000,5.000000
FILLER_40_204,VDD,Metal1,121.2400,176.4000,5.000000
FILLER_40_202,VDD,Metal1,120.4000,176.4000,5.000000
FILLER_40_192,VDD,Metal1,114.8000,176.4000,5.000000
FILLER_40_184,VDD,Metal1,110.3200,176.4000,5.000000
FILLER_40_166,VDD,Metal1,99.9600,176.4000,5.000000
FILLER_40_130,VDD,Metal1,80.0800,176.4000,5.000000
FILLER_40_103,VDD,Metal1,64.9600,176.4000,5.000000
FILLER_40_21,VDD,Metal1,18.7600,176.4000,5.000000
FILLER_40_19,VDD,Metal1,17.9200,176.4000,5.000000
FILLER_40_15,VDD,Metal1,16.6200,175.9675,5.000000
FILLER_40_2,VDD,Metal1,8.1200,176.4000,5.000000
FILLER_39_354,VDD,Metal1,205.2400,168.5600,5.000000
FILLER_39_352,VDD,Metal1,204.4000,168.5600,5.000000
FILLER_39_348,VDD,Metal1,202.1600,168.5600,5.000000
FILLER_39_298,VDD,Metal1,174.1600,168.5600,5.000000
FILLER_39_257,VDD,Metal1,150.9200,168.5600,5.000000
FILLER_39_216,VDD,Metal1,127.9600,168.5600,5.000000
FILLER_39_203,VDD,Metal1,120.6800,168.5600,5.000000
FILLER_39_201,VDD,Metal1,119.8400,168.5600,5.000000
FILLER_39_197,VDD,Metal1,118.5400,168.9925,5.000000
