net,length_um
u_cas_int.out_int1\[7\],53.45µm
u_cas_diff.out_diff2\[13\],53.35µm
_0777_,53.25µm
net13,53.25µm
u_cas_int.out_int1\[24\],52.74µm
_0480_,52.13µm
_0989_,52.13µm
_0180_,52.08µm
u_cas_int.out_int1\[15\],51.72µm
_0316_,51.62µm
_0601_,51.57µm
_0609_,51.57µm
_0592_,51.52µm
_0907_,51.52µm
_0157_,51.16µm
_0156_,51.01µm
out_cas_int\[13\],51.01µm
u_cas_int.out_int1\[11\],50.75µm
u_cas_diff.out_diff2\[7\],50.55µm
u_cas_diff.out_diff1\[14\],50.5µm
_0167_,50.45µm
_0415_,50.45µm
u_cas_diff.u_diff3.in_min1\[23\],50.45µm
_0314_,50.4µm
_0583_,49.89µm
_0775_,49.84µm
u_cas_diff.out_diff1\[0\],49.84µm
u_cas_diff.u_diff2.in_min1\[22\],49.38µm
_0198_,49.33µm
_0949_,49.33µm
_0337_,48.82µm
_0318_,48.77µm
_0498_,48.77µm
u_cas_diff.u_diff3.in_min1\[1\],48.77µm
_0000_,48.36µm
_0404_,48.36µm
_0627_,48.31µm
_0496_,48.26µm
u_cas_int.out_int1\[13\],48.26µm
u_clock_div.counter\[5\],48.26µm
_0645_,48.21µm
u_cas_diff.u_diff3.in_min1\[0\],48.21µm
_0774_,48.16µm
_0858_,47.85µm
_0618_,47.7µm
_0213_,47.6µm
_0632_,47.04µm
net11,47.04µm
_0933_,46.68µm
_0290_,46.58µm
_0608_,46.48µm
_0539_,46.12µm
_0398_,46.07µm
_0678_,46.07µm
_0160_,45.92µm
u_cas_diff.out_diff1\[17\],45.56µm
_0622_,45.46µm
_0112_,45.36µm
u_clock_div.counter\[3\],45.36µm
_0514_,45.05µm
_0487_,44.95µm
_0143_,44.9µm
_0330_,44.9µm
_0356_,44.9µm
_0543_,44.8µm
_0685_,44.54µm
_0566_,44.29µm
u_cas_diff.out_diff2\[21\],44.24µm
_0769_,44.06µm
u_cas_diff.u_diff2.in_min1\[1\],43.83µm
_0684_,43.78µm
_0205_,43.22µm
_0647_,43.22µm
_0861_,43.17µm
_0168_,42.61µm
_0495_,42.61µm
_0527_,42.61µm
_0737_,42.56µm
_0768_,42.56µm
u_cas_diff.u_diff2.in_min1\[21\],42.28µm
_0200_,42.05µm
_0540_,42.05µm
u_cas_diff.out_diff2\[19\],42.05µm
u_cas_diff.u_diff3.in_min1\[2\],42µm
_0596_,41.59µm
_0776_,41.54µm
_0296_,41.49µm
_0547_,41.49µm
_0591_,41.49µm
_0633_,41.49µm
_0789_,41.49µm
_0488_,41.03µm
u_cas_int.out_int1\[21\],41.03µm
_0759_,40.98µm
u_cas_diff.out_diff2\[6\],40.98µm
_0623_,40.93µm
_1014_,40.93µm
u_cas_int.out_int1\[14\],40.93µm
_0194_,40.37µm
_0990_,40.37µm
u_cas_diff.u_diff3.in_min1\[4\],40.32µm
u_cas_int.out_int1\[9\],39.96µm
_0282_,39.86µm
_0175_,39.81µm
_0226_,39.81µm
_0297_,39.81µm
_0042_,39.76µm
_0512_,39.76µm
_0620_,39.76µm
_0918_,39.3µm
u_cas_diff.u_diff2.in_min1\[0\],39.3µm
_0568_,39.25µm
_0663_,39.25µm
u_cas_int.out_int1\[18\],38.79µm
_0161_,38.74µm
_0354_,38.74µm
_0677_,38.74µm
_0782_,38.69µm
_0043_,38.64µm
u_cas_diff.u_diff1.in_min1\[23\],38.23µm
u_cas_int.out_int1\[20\],38.23µm
_0379_,38.18µm
_0944_,38.18µm
_0142_,38.13µm
_0453_,38.13µm
_0787_,38.13µm
_0524_,37.62µm
u_cas_diff.u_diff1.in_min1\[7\],37.57µm
_0419_,37.52µm
_0212_,37.11µm
u_cas_diff.out_diff1\[24\],37.11µm
_0326_,37.06µm
_0307_,37.01µm
_0617_,37.01µm
_0643_,37.01µm
_0771_,37.01µm
_0196_,36.96µm
_0360_,36.5µm
_0916_,36.5µm
_0531_,36.45µm
_0852_,36.45µm
u_cas_diff.out_diff1\[23\],36.45µm
_0983_,36.4µm
u_cas_diff.u_diff1.in_min1\[1\],36.4µm
u_cas_diff.out_diff1\[21\],36.04µm
u_cas_diff.out_diff2\[11\],35.94µm
u_cas_diff.u_diff2.in_min1\[11\],35.94µm
_0170_,35.89µm
_0913_,35.89µm
u_cas_diff.u_diff3.in_min1\[7\],35.89µm
_0178_,35.84µm
_0846_,35.84µm
u_cas_diff.u_diff2.in_min1\[9\],35.84µm
out_cic[11],35.54µm
u_cas_diff.u_diff1.in_min1\[18\],35.43µm
_0509_,35.38µm
_0581_,35.33µm
u_cas_diff.out_diff1\[11\],35.33µm
_0541_,35.28µm
_0058_,34.77µm
_0201_,34.77µm
_0401_,34.77µm
_0767_,34.77µm
_0936_,34.77µm
u_cas_diff.out_diff2\[8\],34.77µm
_0164_,34.72µm
_0176_,34.72µm
_0448_,34.72µm
_0511_,34.72µm
_0801_,34.72µm
_0432_,34.31µm
_0672_,34.31µm
_0465_,34.26µm
u_cas_diff.out_diff1\[8\],34.26µm
_0284_,34.21µm
_0362_,34.21µm
_0455_,34.21µm
u_cas_int.out_int1\[19\],34.21µm
_0438_,34.16µm
_0674_,33.7µm
u_clock_div.counter\[6\],33.7µm
_0707_,33.65µm
_0823_,33.65µm
_0394_,33.14µm
_0847_,33.09µm
_0409_,33.04µm
_0247_,32.63µm
_0994_,32.58µm
u_cas_diff.out_diff2\[15\],32.58µm
_0169_,32.53µm
_0372_,32.53µm
_0880_,32.53µm
_0499_,32.07µm
_0230_,31.97µm
_0324_,31.92µm
_0604_,31.92µm
_0716_,31.92µm
_0857_,31.92µm
u_cas_diff.u_diff3.in_min1\[19\],31.92µm
out_cic[10],31.62µm
_0473_,31.46µm
_0140_,31.41µm
_0235_,31.41µm
_0770_,31.36µm
_0292_,30.95µm
_0339_,30.95µm
_0607_,30.9µm
_0738_,30.9µm
u_cas_diff.out_diff1\[18\],30.9µm
_0204_,30.85µm
u_cas_diff.out_diff1\[6\],30.85µm
u_cas_diff.out_diff2\[20\],30.85µm
_0271_,30.34µm
_0392_,30.34µm
_0054_,30.29µm
_0870_,30.29µm
u_cas_diff.out_diff2\[9\],30.29µm
_0739_,30.24µm
_0191_,29.73µm
_0562_,29.73µm
net10,29.68µm
u_cas_diff.u_diff3.in_min1\[6\],29.68µm
_0520_,29.22µm
_0837_,29.22µm
_1016_,29.22µm
_0141_,29.17µm
_0317_,29.17µm
_0977_,29.17µm
_1015_,29.17µm
u_cas_diff.u_diff1.in_min1\[22\],29.12µm
_0381_,28.66µm
_0987_,28.66µm
_0773_,28.61µm
_0388_,28.56µm
_0646_,28.56µm
u_cas_diff.u_diff3.in_min1\[10\],28.56µm
_0820_,28.15µm
_0565_,28.1µm
_0228_,28.05µm
_0485_,28.05µm
_0491_,28.05µm
_0706_,28.05µm
_0199_,28µm
_0378_,28µm
_0391_,28µm
_0626_,28µm
_0661_,28µm
out_cic[6],27.7µm
_0489_,27.59µm
_0710_,27.54µm
_0451_,27.49µm
u_cas_diff.u_diff3.in_min1\[16\],27.49µm
_0303_,27.44µm
_0447_,27.44µm
_0859_,27.44µm
_0443_,27.26µm
u_cas_diff.out_diff2\[14\],27.03µm
_0779_,26.98µm
_0929_,26.98µm
_0714_,26.93µm
_0736_,26.93µm
_0853_,26.88µm
_0184_,26.42µm
u_cas_diff.out_diff1\[19\],26.42µm
_0433_,26.37µm
_0519_,26.37µm
_0546_,26.37µm
_0584_,26.37µm
_0705_,26.37µm
_0002_,26.32µm
_0162_,26.09µm
u_cas_diff.u_diff2.in_min1\[14\],25.91µm
_0351_,25.86µm
_0884_,25.86µm
u_cas_diff.out_diff1\[15\],25.86µm
u_cas_diff.out_diff2\[18\],25.86µm
_0215_,25.81µm
_0315_,25.81µm
_0458_,25.76µm
_0854_,25.76µm
_0871_,25.76µm
u_cas_diff.out_diff1\[9\],25.35µm
_0287_,25.3µm
_0050_,25.25µm
_0073_,25.25µm
_0726_,25.25µm
_0795_,25.25µm
_1021_,25.25µm
_0410_,25.2µm
_0882_,24.92µm
_0183_,24.74µm
_0400_,24.74µm
_0518_,24.74µm
_0564_,24.74µm
_0301_,24.69µm
_0984_,24.69µm
_0129_,24.64µm
_0638_,24.64µm
_0651_,24.64µm
net6,24.64µm
_0552_,24.23µm
u_cas_diff.out_diff2\[22\],24.23µm
_0234_,24.18µm
_0659_,24.18µm
_0824_,24.18µm
_0911_,24.18µm
u_cas_diff.u_diff3.in_min1\[21\],24.18µm
_0742_,24.13µm
u_cas_diff.out_diff2\[4\],24.13µm
net9,24.08µm
_0439_,23.85µm
u_cas_diff.u_diff3.in_min1\[17\],23.72µm
_0375_,23.67µm
_0570_,23.67µm
_0828_,23.67µm
_0186_,23.62µm
_0827_,23.62µm
_0973_,23.62µm
_0001_,23.57µm
_0471_,23.57µm
u_cas_diff.out_diff2\[12\],23.57µm
u_cas_diff.u_diff2.in_min1\[10\],23.57µm
_0122_,23.52µm
_0219_,23.52µm
_0305_,23.52µm
_0383_,23.52µm
_0590_,23.52µm
_0700_,23.52µm
net12,23.52µm
_0695_,23.16µm
_0254_,23.06µm
_0449_,23.06µm
_0460_,23.06µm
_0497_,23.06µm
_0822_,23.06µm
_0875_,23.06µm
_0613_,23.01µm
_0862_,23.01µm
_0945_,23.01µm
net3,23.01µm
_0265_,22.96µm
_0657_,22.55µm
_0210_,22.5µm
_0675_,22.5µm
_0323_,22.45µm
_0703_,22.45µm
_0942_,22.45µm
_0078_,22.4µm
_0542_,22.4µm
in_cic,22.26µm
_0373_,21.94µm
_0526_,21.94µm
_0585_,21.94µm
_0177_,21.89µm
_0650_,21.89µm
_0732_,21.89µm
_0791_,21.89µm
u_cas_diff.u_diff1.in_min1\[19\],21.89µm
_0294_,21.84µm
_0364_,21.84µm
_0850_,21.43µm
u_cas_diff.u_diff3.in_min1\[15\],21.43µm
_0848_,21.38µm
_1008_,21.38µm
_0011_,21.33µm
_0165_,21.33µm
_0335_,21.33µm
_0631_,21.33µm
_0662_,21.33µm
_0805_,21.33µm
_0818_,21.33µm
_1001_,21.33µm
_0057_,21.28µm
_0067_,21.28µm
_0723_,21.28µm
_0731_,21.28µm
u_cas_diff.u_diff1.in_min1\[12\],20.92µm
_0369_,20.87µm
_1003_,20.87µm
_0151_,20.77µm
_0329_,20.77µm
_0343_,20.77µm
_0385_,20.77µm
_0476_,20.77µm
_0660_,20.77µm
_0709_,20.77µm
_0845_,20.77µm
u_cas_diff.u_diff2.in_min1\[6\],20.77µm
_0041_,20.72µm
_0138_,20.72µm
_0347_,20.72µm
_0384_,20.72µm
_0680_,20.72µm
_0698_,20.72µm
_0746_,20.72µm
_0931_,20.72µm
u_cas_diff.out_diff2\[16\],20.31µm
_0435_,20.26µm
_0855_,20.26µm
_0864_,20.26µm
_1020_,20.26µm
_0181_,20.21µm
_0393_,20.21µm
_0483_,20.21µm
_0839_,20.21µm
_0877_,20.21µm
_0083_,20.16µm
_0121_,20.16µm
_0240_,20.16µm
_0327_,20.16µm
_0804_,20.16µm
_0922_,20.16µm
_0615_,19.9µm
_0556_,19.75µm
_0207_,19.7µm
_0225_,19.7µm
_0890_,19.7µm
_0976_,19.7µm
_1005_,19.7µm
_0004_,19.65µm
_0158_,19.65µm
_0386_,19.65µm
_0494_,19.65µm
_0642_,19.65µm
_0652_,19.65µm
_0211_,19.6µm
_0224_,19.6µm
_0417_,19.6µm
_0624_,19.6µm
_0667_,19.6µm
_0720_,19.6µm
_0788_,19.6µm
_0863_,19.6µm
_0970_,19.6µm
u_cas_diff.u_diff2.in_min1\[24\],19.6µm
_0429_,19.19µm
_0889_,19.19µm
_0582_,19.14µm
_0727_,19.14µm
u_cas_diff.u_diff3.in_min1\[24\],19.14µm
u_cas_int.out_int2\[24\],19.14µm
_0174_,19.09µm
_0561_,19.09µm
_0964_,19.09µm
_0132_,19.04µm
_0411_,19.04µm
_0640_,19.04µm
_0971_,19.04µm
_0560_,18.63µm
u_cas_diff.out_diff1\[16\],18.63µm
u_cas_diff.u_diff2.in_min1\[16\],18.63µm
_0238_,18.58µm
_0283_,18.58µm
_0517_,18.58µm
_0612_,18.58µm
_0665_,18.58µm
u_cas_diff.u_diff3.in_min1\[22\],18.58µm
_0021_,18.53µm
_0189_,18.48µm
_0208_,18.48µm
_0331_,18.48µm
_0690_,18.48µm
_0780_,18.48µm
u_cas_diff.out_diff1\[20\],18.48µm
_0367_,18.07µm
_0368_,18.02µm
_0457_,18.02µm
_0656_,18.02µm
_0673_,18.02µm
_0943_,18.02µm
_0980_,18.02µm
u_cas_diff.out_diff1\[12\],18.02µm
u_cas_int.out_int1\[23\],18.02µm
_0035_,17.97µm
_0055_,17.97µm
_0262_,17.97µm
_0333_,17.97µm
_0629_,17.97µm
_0702_,17.97µm
_0910_,17.97µm
u_cas_diff.out_diff2\[17\],17.97µm
u_cas_diff.u_diff2.in_min1\[15\],17.97µm
_0229_,17.92µm
_0266_,17.92µm
_0420_,17.92µm
_0437_,17.92µm
_0872_,17.92µm
_0935_,17.92µm
u_cas_diff.u_diff1.in_min1\[4\],17.56µm
_0277_,17.51µm
u_cas_diff.out_diff2\[24\],17.51µm
_0835_,17.46µm
_0117_,17.41µm
_0214_,17.41µm
_0793_,17.41µm
_0821_,17.41µm
_0909_,17.41µm
_0985_,17.41µm
u_cas_diff.u_diff2.in_min1\[19\],17.41µm
_0220_,17.36µm
_0704_,17.36µm
_0758_,17.36µm
_0276_,16.95µm
_0414_,16.95µm
_0849_,16.95µm
_0270_,16.9µm
_0350_,16.9µm
_0522_,16.9µm
_0558_,16.9µm
_0860_,16.9µm
_0308_,16.85µm
_0309_,16.85µm
_0750_,16.85µm
_0997_,16.85µm
_0255_,16.8µm
_0462_,16.8µm
_0537_,16.8µm
_0639_,16.8µm
_0664_,16.8µm
_0683_,16.8µm
_0275_,16.39µm
_0796_,16.39µm
u_cas_diff.u_diff2.in_min1\[17\],16.39µm
_0555_,16.34µm
_1034_,16.34µm
_0237_,16.29µm
_0349_,16.29µm
_0648_,16.29µm
_0867_,16.29µm
_0280_,16.24µm
_0579_,16.24µm
_0586_,16.24µm
_0587_,16.24µm
_0744_,16.24µm
_0747_,16.24µm
_0898_,16.24µm
_0960_,16.24µm
_0961_,16.24µm
_1032_,16.24µm
_0239_,15.78µm
_0810_,15.78µm
_0938_,15.78µm
_0127_,15.73µm
_0197_,15.73µm
_0245_,15.73µm
_0551_,15.73µm
_0894_,15.73µm
_0988_,15.73µm
_0506_,15.68µm
_0577_,15.68µm
_0892_,15.68µm
_0959_,15.68µm
u_cas_diff.u_diff1.in_min1\[16\],15.68µm
_0486_,15.27µm
_0361_,15.22µm
_0881_,15.22µm
_0995_,15.22µm
_0105_,15.17µm
_0252_,15.17µm
_0267_,15.17µm
_0353_,15.17µm
_0382_,15.17µm
_0159_,15.12µm
_0304_,15.12µm
_0397_,15.12µm
_0463_,15.12µm
_0625_,15.12µm
_0655_,15.12µm
_0792_,15.12µm
_0798_,15.12µm
_0899_,15.12µm
_0957_,15.12µm
_0979_,15.12µm
u_cas_diff.u_diff2.in_min1\[18\],14.71µm
_0502_,14.66µm
_0523_,14.66µm
_0670_,14.66µm
_0886_,14.66µm
u_cas_diff.out_diff1\[13\],14.66µm
_0246_,14.61µm
_0320_,14.61µm
_0644_,14.61µm
_0687_,14.61µm
_0950_,14.61µm
u_cas_diff.u_diff3.in_min1\[18\],14.61µm
_0134_,14.56µm
_0179_,14.56µm
_0346_,14.56µm
_0621_,14.56µm
u_cas_diff.u_diff2.in_min1\[20\],14.56µm
u_cas_diff.u_diff1.in_min1\[8\],14.15µm
_0654_,14.1µm
_0749_,14.1µm
u_cas_diff.out_diff1\[10\],14.1µm
_0222_,14.05µm
_0469_,14.05µm
_0554_,14.05µm
_0603_,14.05µm
_0784_,14.05µm
_0790_,14.05µm
_0891_,14.05µm
_0902_,14.05µm
_0258_,14µm
u_cas_diff.u_diff1.in_min1\[10\],14µm
u_cas_diff.u_diff1.in_min1\[5\],14µm
u_cas_diff.u_diff3.in_min1\[11\],14µm
_0529_,13.54µm
_0952_,13.54µm
_0958_,13.54µm
_0017_,13.49µm
_0026_,13.49µm
_0334_,13.49µm
_0342_,13.49µm
_0544_,13.49µm
_0606_,13.49µm
_0693_,13.49µm
_0694_,13.49µm
_0713_,13.49µm
_0953_,13.49µm
_0981_,13.49µm
_0107_,13.44µm
_0442_,13.44µm
_1000_,13.44µm
_0456_,13.08µm
_0725_,12.98µm
_0829_,12.98µm
_0879_,12.98µm
_0963_,12.98µm
_1018_,12.98µm
u_cas_diff.u_diff1.in_min1\[11\],12.98µm
_0018_,12.93µm
_0049_,12.93µm
_0594_,12.93µm
_0676_,12.93µm
_0752_,12.93µm
_0831_,12.93µm
_0904_,12.93µm
_0930_,12.93µm
_0946_,12.93µm
_1013_,12.93µm
_0047_,12.88µm
_0051_,12.88µm
_0139_,12.88µm
_0912_,12.88µm
_0954_,12.88µm
_1030_,12.88µm
u_cas_diff.u_diff2.in_min1\[12\],12.88µm
out_cic[3],12.58µm
_0299_,12.42µm
_0312_,12.42µm
_0370_,12.42µm
_0500_,12.42µm
_0781_,12.42µm
u_cas_diff.u_diff1.in_min1\[6\],12.42µm
_0110_,12.37µm
_0344_,12.37µm
_0380_,12.37µm
_0728_,12.37µm
_0748_,12.37µm
_0813_,12.37µm
_0865_,12.37µm
u_cas_diff.u_diff1.in_min1\[13\],12.37µm
_0024_,12.32µm
_0355_,12.32µm
_0444_,12.32µm
_0538_,12.32µm
_0550_,12.32µm
_0800_,12.32µm
_0802_,12.32µm
_1019_,12.32µm
_0874_,11.91µm
_0730_,11.86µm
_0924_,11.86µm
_1002_,11.86µm
_0098_,11.81µm
_0123_,11.81µm
_0128_,11.81µm
_0328_,11.81µm
_0466_,11.81µm
_0468_,11.81µm
_0470_,11.81µm
_0472_,11.81µm
_0696_,11.81µm
_0809_,11.81µm
_0939_,11.81µm
_0951_,11.81µm
_1004_,11.81µm
_0093_,11.76µm
_0116_,11.76µm
_0118_,11.76µm
_0133_,11.76µm
_0218_,11.76µm
_0306_,11.76µm
_0341_,11.76µm
_0459_,11.76µm
_0719_,11.76µm
_0753_,11.76µm
_0840_,11.76µm
out_cic[1],11.46µm
out_cic[4],11.46µm
out_cic[9],11.46µm
_0559_,11.35µm
_0263_,11.25µm
_0321_,11.25µm
_0352_,11.25µm
_0428_,11.25µm
_0431_,11.25µm
_0440_,11.25µm
_0572_,11.25µm
_0729_,11.25µm
_0903_,11.25µm
_1006_,11.25µm
_0108_,11.2µm
_0136_,11.2µm
_0233_,11.2µm
_0285_,11.2µm
_0452_,11.2µm
_0634_,11.2µm
_0637_,11.2µm
_0691_,11.2µm
_0897_,11.2µm
_0923_,11.2µm
_0926_,11.2µm
_0940_,11.2µm
rst,10.9µm
u_cas_diff.u_diff3.in_min1\[14\],10.84µm
_0445_,10.79µm
_0501_,10.74µm
_0571_,10.74µm
_1011_,10.74µm
u_cas_diff.u_diff2.in_min1\[13\],10.74µm
_0022_,10.69µm
_0363_,10.69µm
_0416_,10.69µm
_0569_,10.69µm
_0682_,10.69µm
_0887_,10.69µm
_0925_,10.69µm
_0975_,10.69µm
_0071_,10.64µm
_0072_,10.64µm
_0173_,10.64µm
_0231_,10.64µm
_0423_,10.64µm
_0557_,10.64µm
_0740_,10.64µm
_0816_,10.64µm
_0878_,10.64µm
_0888_,10.64µm
u_cas_diff.u_diff1.in_min1\[24\],10.64µm
u_cas_diff.u_diff3.in_min1\[20\],10.64µm
out_cic[2],10.34µm
out_cic[7],10.34µm
_0244_,10.18µm
_0268_,10.18µm
_0286_,10.18µm
_0387_,10.18µm
_0395_,10.13µm
_0735_,10.13µm
_0806_,10.13µm
_0843_,10.13µm
_0216_,10.08µm
_0504_,10.08µm
_0574_,10.08µm
_0602_,10.08µm
_0689_,10.08µm
_0712_,10.08µm
_0841_,10.08µm
_1031_,10.08µm
out_cic[0],9.78µm
out_cic[5],9.78µm
_0868_,9.67µm
_1028_,9.62µm
_0096_,9.57µm
_0146_,9.57µm
_0434_,9.57µm
_0507_,9.57µm
_0834_,9.57µm
_1029_,9.57µm
_0019_,9.52µm
_0038_,9.52µm
_0079_,9.52µm
_0086_,9.52µm
_0094_,9.52µm
_0236_,9.52µm
_0408_,9.52µm
_0786_,9.52µm
out_cic[8],9.22µm
_0982_,9.11µm
_0669_,9.06µm
_0817_,9.06µm
_0248_,9.01µm
_0521_,9.01µm
_0600_,9.01µm
_0955_,9.01µm
u_cas_diff.u_diff1.in_min1\[14\],9.01µm
_0274_,8.96µm
_0358_,8.96µm
_0553_,8.96µm
_0807_,8.96µm
_0260_,8.55µm
_0009_,8.5µm
_0357_,8.5µm
_0464_,8.5µm
_0966_,8.5µm
_0008_,8.45µm
_0040_,8.45µm
_0044_,8.45µm
_0223_,8.45µm
_0811_,8.45µm
net7,8.45µm
_0039_,8.4µm
_0102_,8.4µm
_0109_,8.4µm
_0131_,8.4µm
_0152_,8.4µm
_0340_,8.4µm
_0371_,8.4µm
_0474_,8.4µm
_0576_,8.4µm
_0785_,8.4µm
_0812_,8.4µm
_0900_,8.4µm
_0991_,8.4µm
