net,length_um
u_clock_div.counter\[7\],543.84µm
net15,541.89µm
net21,507.24µm
net16,500.96µm
net18,466.41µm
net2,403.19µm
net20,384.3µm
net19,362.67µm
net17,360.22µm
u_cas_int.out_int2\[1\],235.93µm
u_cas_int.out_int2\[2\],186.58µm
u_cas_int.out_int2\[3\],175.48µm
u_cas_int.out_int1\[2\],174.61µm
clknet_0_clk,166.4µm
out_cas_int\[3\],153.13µm
clk,151.67µm
u_cas_int.out_int1\[0\],151.5µm
out_cas_int\[1\],150.84µm
clknet_3_5__leaf_clk,149.77µm
out_cas_int\[4\],149.06µm
u_cas_int.out_int1\[1\],146.26µm
u_cas_int.out_int1\[3\],145.85µm
u_cas_int.out_int2\[4\],145.09µm
clknet_3_1__leaf_clk,142.95µm
out_cas_int\[2\],142.16µm
u_cas_int.out_int2\[0\],141.22µm
u_cas_diff.out_diff2\[0\],140.1µm
clknet_3_0__leaf_clk,138.47µm
u_cas_diff.out_diff2\[3\],134.45µm
u_cas_int.out_int1\[4\],133.99µm
out_cas_int\[0\],132.77µm
clknet_3_3__leaf_clk,130.22µm
_0757_,129.92µm
u_cas_int.out_int2\[5\],128.44µm
net1,125.69µm
clknet_3_2__leaf_clk,124.57µm
_0761_,119.99µm
_0295_,117.7µm
out_cas_int\[5\],115.56µm
_0763_,113.73µm
_0166_,113.17µm
_0479_,112.55µm
clknet_3_6__leaf_clk,111.08µm
u_cas_diff.out_diff2\[5\],111.03µm
u_cas_diff.out_diff2\[1\],110.86µm
_0762_,110.32µm
_0478_,108.28µm
_0536_,108.13µm
clknet_3_7__leaf_clk,107.62µm
u_cas_int.out_int2\[6\],106.04µm
u_clock_div.counter\[0\],105.68µm
out_cas_int\[18\],105.48µm
u_cas_int.out_int2\[10\],103.8µm
out_cas_int\[19\],103.09µm
u_cas_int.out_int2\[8\],102.68µm
out_cas_int\[11\],102.63µm
_0171_,99.78µm
u_cas_diff.out_diff2\[2\],98.56µm
u_cas_diff.out_diff1\[5\],98.05µm
_0765_,97.59µm
u_cas_diff.u_diff2.in_min1\[5\],97.08µm
u_cas_int.out_int1\[6\],96.52µm
_0588_,96.42µm
out_cas_int\[22\],96.11µm
_0636_,95.81µm
u_cas_diff.out_diff1\[4\],95.35µm
u_cas_int.out_int2\[7\],95.35µm
u_cas_diff.out_diff1\[3\],95.3µm
out_cas_int\[21\],95.25µm
out_cas_int\[15\],94.38µm
u_cas_int.out_int2\[14\],94.18µm
clknet_3_4__leaf_clk,94.18µm
u_cas_int.out_int2\[9\],93.87µm
u_cas_int.out_int2\[11\],93.62µm
u_cas_int.out_int2\[16\],93.11µm
u_cas_int.out_int2\[18\],90.87µm
_0772_,90.31µm
_0481_,90.21µm
u_cas_int.out_int2\[22\],90.15µm
u_cas_int.out_int1\[10\],90.05µm
u_cas_diff.u_diff2.in_min1\[3\],89.75µm
_0061_,89.65µm
_0532_,88.68µm
_0425_,88.02µm
out_cas_int\[20\],87.1µm
u_cas_int.out_int2\[19\],86.34µm
u_clock_div.counter\[4\],86.34µm
_0605_,85.5µm
u_cas_diff.u_diff3.in_min1\[5\],84.05µm
u_cas_int.out_int2\[23\],83.54µm
u_cas_diff.u_diff1.in_min1\[2\],83.03µm
out_cas_int\[9\],82.42µm
u_cas_diff.u_diff2.in_min1\[2\],82.42µm
u_cas_int.out_int1\[5\],81.96µm
_0610_,81.81µm
_0614_,81.81µm
u_cas_diff.u_diff2.in_min1\[7\],81.76µm
_0908_,81.35µm
u_cas_int.out_int2\[17\],80.79µm
_0172_,80.74µm
_0060_,80.64µm
_0259_,80.18µm
out_cas_int\[17\],79.82µm
out_cas_int\[7\],79.72µm
u_cas_int.out_int1\[12\],79.72µm
out_cas_int\[8\],79.16µm
_0844_,78.65µm
out_cas_int\[6\],77.43µm
_0764_,77.33µm
net4,77.28µm
net5,76.21µm
u_cas_diff.out_diff1\[2\],75.75µm
u_cas_int.out_int2\[21\],75.7µm
out_cas_int\[14\],75.34µm
u_cas_int.out_int2\[15\],75.01µm
_0563_,74.63µm
_0593_,74.48µm
u_cas_diff.out_diff1\[1\],73.97µm
_0760_,73.92µm
_0253_,73µm
_0192_,72.95µm
_0025_,72.44µm
u_cas_int.out_int2\[20\],72.44µm
_0927_,72.34µm
out_cas_int\[12\],72.03µm
_0611_,71.73µm
u_cas_diff.u_diff1.in_min1\[0\],71.32µm
_0516_,71.22µm
_0534_,70.61µm
_0567_,70.56µm
u_cas_diff.u_diff3.in_min1\[3\],70.15µm
_0535_,69.98µm
u_cas_diff.u_diff2.in_min1\[4\],69.59µm
out_cas_int\[23\],69.54µm
_0635_,69.03µm
_0842_,68.32µm
_0701_,67.91µm
_0794_,66.89µm
_0288_,66.64µm
_0289_,66.64µm
u_cas_diff.out_diff1\[7\],66.18µm
_0155_,65.52µm
_0150_,65.16µm
_0195_,65.16µm
_0962_,65.11µm
_0510_,65.01µm
_0597_,65.01µm
out_cas_int\[10\],65.01µm
u_clock_div.counter\[1\],64.55µm
_0206_,64.5µm
_0533_,64.4µm
_0668_,64.04µm
u_cas_diff.out_diff2\[23\],63.38µm
_0515_,63.33µm
u_cas_diff.out_diff2\[10\],62.87µm
_0182_,62.82µm
_0630_,62.72µm
u_cas_int.out_int2\[13\],61.8µm
_0619_,61.75µm
_0163_,61.7µm
out_cas_int\[24\],61.7µm
_0513_,61.65µm
_0993_,61.19µm
u_cas_int.out_int1\[8\],61.09µm
_0056_,60.48µm
_0154_,60.48µm
_0188_,59.97µm
_0279_,59.97µm
_0595_,59.41µm
_0293_,59.36µm
_0906_,58.95µm
_0153_,58.85µm
u_cas_diff.out_diff1\[22\],58.49µm
u_cas_int.out_int2\[12\],58.34µm
_0298_,58.24µm
u_cas_int.out_int1\[16\],57.83µm
_0291_,57.78µm
_0688_,57.78µm
u_clock_div.counter\[2\],57.78µm
_0036_,57.73µm
_0482_,57.27µm
_0724_,57.22µm
out_cas_int\[16\],57.22µm
_0300_,57.17µm
_0708_,57.17µm
_0589_,57.12µm
_0530_,56.71µm
_1025_,56.61µm
u_cas_diff.u_diff1.in_min1\[3\],56.61µm
_0403_,56.15µm
_0187_,56µm
_0766_,56µm
_0914_,55.59µm
u_cas_int.out_int1\[22\],55.59µm
_0059_,55.54µm
_0313_,55.49µm
_0679_,55.49µm
_0257_,55.44µm
_0920_,55.08µm
_0616_,55.03µm
u_cas_int.out_int1\[17\],55.03µm
_0599_,54.98µm
_0528_,54.93µm
_0319_,54.88µm
net14,54.37µm
u_cas_diff.u_diff2.in_min1\[23\],53.86µm
_0137_,53.76µm
_0190_,53.76µm
