Instance,Terminal,Layer,X location,Y location,Voltage
PHY_EDGE_ROW_8_Right_8,VSS,Metal1,67.2065,47.5100,0.000030
PHY_EDGE_ROW_7_Right_7,VSS,Metal1,67.2065,46.5700,0.000030
PHY_EDGE_ROW_6_Right_6,VSS,Metal1,67.2065,39.6700,0.000113
PHY_EDGE_ROW_5_Right_5,VSS,Metal1,67.2065,38.7300,0.000113
PHY_EDGE_ROW_4_Right_4,VSS,Metal1,67.2065,31.8300,0.000079
PHY_EDGE_ROW_3_Right_3,VSS,Metal1,67.2065,30.8900,0.000079
PHY_EDGE_ROW_2_Right_2,VSS,Metal1,67.2065,23.9900,0.000039
PHY_EDGE_ROW_1_Right_1,VSS,Metal1,67.2065,23.0500,0.000039
PHY_EDGE_ROW_0_Right_0,VSS,Metal1,67.2065,16.1500,0.000006
_79_,VSS,Metal1,36.8175,30.8145,0.000079
_78_,VSS,Metal1,18.8975,54.3345,0.000013
_77_,VSS,Metal1,56.1420,38.6545,0.000113
_76_,VSS,Metal1,56.9775,46.4945,0.000030
_75_,VSS,Metal1,47.1820,47.5850,0.000030
_74_,VSS,Metal1,28.7020,46.4945,0.000029
_73_,VSS,Metal1,16.9420,30.8145,0.000073
_72_,VSS,Metal1,56.1420,22.9745,0.000039
_71_,VSS,Metal1,56.9775,30.8145,0.000079
_70_,VSS,Metal1,56.4175,24.0650,0.000039
_69_,VSS,Metal1,36.5420,24.0650,0.000038
_68_,VSS,Metal1,27.5820,22.9745,0.000038
_67_,VSS,Metal1,23.7100,31.6260,0.000073
_66_,VSS,Metal1,44.4200,23.2125,0.000038
_65_,VSS,Metal1,45.0375,46.7635,0.000030
_64_,VSS,Metal1,60.1000,47.3475,0.000030
_63_,VSS,Metal1,63.5175,47.3160,0.000030
_62_,VSS,Metal1,41.6200,46.7325,0.000030
_61_,VSS,Metal1,42.7975,54.6035,0.000014
_60_,VSS,Metal1,21.1000,39.5075,0.000112
_59_,VSS,Metal1,17.6825,46.7635,0.000029
_58_,VSS,Metal1,18.3000,47.3475,0.000029
_57_,VSS,Metal1,17.6825,39.4760,0.000112
_56_,VSS,Metal1,18.3000,31.6675,0.000073
_55_,VSS,Metal1,28.3225,39.4760,0.000112
_54_,VSS,Metal1,34.5400,31.6675,0.000079
_53_,VSS,Metal1,20.3975,15.9560,0.000005
_52_,VSS,Metal1,22.7800,15.9875,0.000005
_51_,VSS,Metal1,39.5225,23.2435,0.000038
_50_,VSS,Metal1,30.0600,31.6675,0.000079
_49_,VSS,Metal1,36.6375,39.4760,0.000112
_48_,VSS,Metal1,18.8600,23.8275,0.000038
_47_,VSS,Metal1,31.1225,39.4760,0.000112
_46_,VSS,Metal1,23.3400,23.8275,0.000037
_45_,VSS,Metal1,12.0825,38.9235,0.000113
_44_,VSS,Metal1,36.5800,47.3750,0.000029
_43_,VSS,Metal1,44.4200,54.5450,0.000014
_42_,VSS,Metal1,38.8200,54.5450,0.000013
_41_,VSS,Metal1,24.4600,47.3750,0.000028
_40_,VSS,Metal1,25.5800,39.5350,0.000112
_39_,VSS,Metal1,44.0600,55.2150,0.000014
_38_,VSS,Metal1,37.3400,54.5450,0.000013
_37_,VSS,Metal1,41.8200,55.2150,0.000014
_36_,VSS,Metal1,35.1000,47.3750,0.000029
_35_,VSS,Metal1,28.9400,47.3750,0.000029
_34_,VSS,Metal1,9.7000,38.8650,0.000113
