Instance,Terminal,Layer,X location,Y location,Voltage
PHY_EDGE_ROW_8_Right_8,VDD,Metal1,67.2065,50.2880,4.999978
PHY_EDGE_ROW_7_Right_7,VDD,Metal1,67.2065,43.7915,4.999900
PHY_EDGE_ROW_6_Right_6,VDD,Metal1,67.2065,42.4480,4.999900
PHY_EDGE_ROW_5_Right_5,VDD,Metal1,67.2065,35.9515,4.999892
PHY_EDGE_ROW_4_Right_4,VDD,Metal1,67.2065,34.6080,4.999892
PHY_EDGE_ROW_3_Right_3,VDD,Metal1,67.2065,28.1115,4.999955
PHY_EDGE_ROW_2_Right_2,VDD,Metal1,67.2065,26.7680,4.999955
PHY_EDGE_ROW_1_Right_1,VDD,Metal1,67.2065,20.2715,4.999972
PHY_EDGE_ROW_0_Right_0,VDD,Metal1,67.2065,18.9280,4.999972
_79_,VDD,Metal1,35.8430,28.0430,4.999956
_78_,VDD,Metal1,17.9230,51.5630,4.999979
_77_,VDD,Metal1,57.1165,35.8830,4.999892
_76_,VDD,Metal1,56.0030,43.7230,4.999900
_75_,VDD,Metal1,48.1565,50.3565,4.999978
_74_,VDD,Metal1,29.6765,43.7230,4.999929
_73_,VDD,Metal1,17.9165,28.0430,4.999959
_72_,VDD,Metal1,57.1165,20.2030,4.999972
_71_,VDD,Metal1,56.0030,28.0430,4.999955
_70_,VDD,Metal1,55.4430,26.8365,4.999955
_69_,VDD,Metal1,37.5165,26.8365,4.999956
_68_,VDD,Metal1,28.5565,20.2030,4.999978
_67_,VDD,Metal1,23.0530,34.8325,4.999893
_66_,VDD,Metal1,43.5630,20.0330,4.999977
_65_,VDD,Metal1,44.5300,43.6830,4.999900
_64_,VDD,Metal1,59.2430,50.5265,4.999978
_63_,VDD,Metal1,63.0100,50.3965,4.999978
_62_,VDD,Metal1,40.7630,43.5530,4.999900
_61_,VDD,Metal1,42.2900,51.5230,4.999978
_60_,VDD,Metal1,21.9565,42.6865,4.999929
_59_,VDD,Metal1,18.1900,43.6830,4.999929
_58_,VDD,Metal1,19.1565,50.5265,4.999979
_57_,VDD,Metal1,18.1900,42.5565,4.999929
_56_,VDD,Metal1,19.1565,34.8465,4.999892
_55_,VDD,Metal1,28.8300,42.5565,4.999929
_54_,VDD,Metal1,35.3965,34.8465,4.999892
_53_,VDD,Metal1,19.8900,19.0365,4.999978
_52_,VDD,Metal1,23.6365,19.1665,4.999978
_51_,VDD,Metal1,40.0300,20.1630,4.999977
_50_,VDD,Metal1,30.9165,34.8465,4.999892
_49_,VDD,Metal1,36.1300,42.5565,4.999929
_48_,VDD,Metal1,19.7165,27.0065,4.999959
_47_,VDD,Metal1,31.6300,42.5565,4.999929
_46_,VDD,Metal1,24.1965,27.0065,4.999959
_45_,VDD,Metal1,12.5900,35.8430,4.999892
_44_,VDD,Metal1,36.5800,50.5250,4.999978
_43_,VDD,Metal1,44.4200,51.3950,4.999978
_42_,VDD,Metal1,38.8200,51.3950,4.999978
_41_,VDD,Metal1,24.4600,50.5250,4.999979
_40_,VDD,Metal1,25.5800,42.6850,4.999929
_39_,VDD,Metal1,44.0600,58.3650,4.999998
_38_,VDD,Metal1,37.3400,51.3950,4.999978
_37_,VDD,Metal1,41.8200,58.3650,4.999998
_36_,VDD,Metal1,35.1000,50.5250,4.999978
_35_,VDD,Metal1,28.9400,50.5250,4.999979
_34_,VDD,Metal1,9.7000,35.7150,4.999892
